As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
As the Defence of Australia Policy. ||| as ||| This was known as the Defence of Australia Policy.
As a cricketer was recognised when was chosen as one of Wisden's Cricketers of the Year for 1914. ||| as ||| His improvement as a cricketer was recognised when was chosen as one of Wisden's Cricketers of the Year for 1914.
That the Chronicle contains many of these. ||| that ||| Instead they were incorporated in later works, and it is thought likely that the Chronicle contains many of these.
After traversing the minefield. ||| After ||| After traversing the minefield, the squadrons were stopped by anti-tank fire.
Before beginning his career, aged 14, as an errand boy. ||| before ||| Bottomley spent five years in an orphanage before beginning his career, aged 14, as an errand boy.
Since the 1899 San Ciriaco hurricane. ||| since ||| These water levels may have been the highest in the region since the 1899 San Ciriaco hurricane.
After 23:30, he set off on a barge towards the boom net, to make a personal inspection. ||| after ||| Just after 23:30, he set off on a barge towards the boom net, to make a personal inspection.
Though he returned to work on 13 March 1940. ||| Though ||| Though he returned to work on 13 March 1940, he remained ill for several weeks.
After Bradburn left Texas, the garrison at Anahuac was dismantled. ||| after ||| Shortly after Bradburn left Texas, the garrison at Anahuac was dismantled.
That Germans had mocked victims of the explosion. ||| that ||| The Halifax Herald continued to propagate this belief for some time, for example reporting that Germans had mocked victims of the explosion.
That he revived his Big-Boot Dance, which was a hit with audiences. ||| that ||| It was during the latter characterisation that he revived his Big-Boot Dance, which was a hit with audiences.
After this rebuff Bizet entered an opera competition which Jacques Offenbach had organised for young composers. ||| After ||| After this rebuff Bizet entered an opera competition which Jacques Offenbach had organised for young composers, with a prize of 1,200 francs.
As planes had taken surveillance images as recently as January 19. ||| as ||| Pictures of the camp were also available, as planes had taken surveillance images as recently as January 19.
That those who died will never be forgotten. ||| that ||| At the centre of the memorial is an eternal flame, signifying that those who died will never be forgotten.
When his father was appointed provost of the city. ||| when ||| In 1900, the family moved to Skien when his father was appointed provost of the city.
Before climbing aboard the boat. ||| before ||| One fell overboard before climbing aboard the boat.
Before striking Japan. ||| Before ||| Before striking Japan, Higos produced strong winds in the Northern Marianas Islands while passing to their north.
Although he attempted, unsuccessfully, to rejoin the Navy in 1918. ||| although ||| He was now probably unfit for further polar work, although he attempted, unsuccessfully, to rejoin the Navy in 1918.
After Bill Voce had bowled Bodyline at the start of the Australian innings, in contravention of a prior agreement. ||| after ||| This came after Bill Voce had bowled Bodyline at the start of the Australian innings, in contravention of a prior agreement.
Where his body was later found, clutching a picture of the Virgin Mary. ||| where ||| Catesby managed to crawl inside the house, where his body was later found, clutching a picture of the Virgin Mary.
Until his death and served on several masonic charitable boards. ||| until ||| He remained an active mason until his death and served on several masonic charitable boards.
After the Sandbar Fight and subsequent battles in which Bowie used his knife to defend himself. ||| After ||| After the Sandbar Fight and subsequent battles in which Bowie used his knife to defend himself, the Bowie knife became very popular.
That the Alamo defenders did not wear uniforms. ||| that ||| Fragments of uniforms were found in the coffin, and it is known that the Alamo defenders did not wear uniforms.
As the capital of Silla. ||| As ||| As the capital of Silla, commerce and trading in Gyeongju developed early on.
As the cloud pattern displayed curvature on satellite images. ||| as ||| On July 21, Dvorak classifications began as the cloud pattern displayed curvature on satellite images.
As well as a bishop, Neville was a member of Prince Richard's household. ||| as ||| Related to a number of other royal officials as well as a bishop, Neville was a member of Prince Richard's household.
Since 1835. ||| since ||| They are rare, however; only several dozen have been reported since 1835.
Where Alfred Clayton and his crew perished. ||| where ||| Another memorial was erected the same year near the location where Alfred Clayton and his crew perished.
